"Invoice Date","Capacity Rating","Energy Rating","Invoice Quantity","Sales Zone","Sales Location","Sales Channel","Sales Margin"
"3/17/2023","1","3","1","South","HBI","General Trade","20%"
"3/17/2023","1","3","1","South","HBI","General Trade","20%"
"3/17/2023","1","3","1","South","HBI","General Trade","20%"
"3/17/2023","1","3","30","South","HBI","General Trade","20%"
"3/17/2023","1","3","3","South","HBI","General Trade","20%"
"3/18/2023","1","3","4","South","HBI","General Trade","20%"
"3/18/2023","1","3","1","South","HBI","General Trade","20%"
"3/18/2023","1","3","3","South","HBI","General Trade","20%"
"3/18/2023","1","3","2","South","HBI","General Trade","20%"
"3/18/2023","1","3","1","South","HBI","General Trade","20%"
"3/18/2023","1","3","2","South","HBI","General Trade","20%"
"3/18/2023","1","3","3","South","HBI","General Trade","20%"
"3/18/2023","1","3","1","South","HBI","General Trade","20%"
"3/18/2023","1","3","5","South","HBI","General Trade","20%"
"3/18/2023","1","3","4","South","HBI","General Trade","20%"
"3/18/2023","1","3","2","South","HBI","General Trade","20%"
"3/18/2023","1","3","5","South","HBI","General Trade","20%"
"3/18/2023","1","3","3","South","HBI","General Trade","20%"
"3/18/2023","1","3","2","South","HBI","General Trade","20%"
"3/18/2023","1","3","2","South","HBI","General Trade","20%"
"3/18/2023","1","3","5","South","HBI","General Trade","20%"
"3/21/2023","1","3","10","South","HBI","General Trade","20%"
"3/21/2023","1","3","10","South","HBI","General Trade","20%"
"3/21/2023","1","3","10","South","HBI","General Trade","20%"
"3/21/2023","1","3","2","South","HBI","General Trade","20%"
"3/21/2023","1","3","3","South","HBI","General Trade","20%"
"3/21/2023","1","3","3","South","HBI","General Trade","20%"
"3/21/2023","1","3","4","South","HBI","General Trade","20%"
"3/24/2023","1","3","8","South","HBI","General Trade","20%"
"3/4/2023","1","3","6","South","HBI","General Trade","20%"
"3/7/2023","1","3","20","South","HBI","General Trade","20%"
"3/8/2023","1","3","10","South","HBI","General Trade","20%"
"3/10/2023","1","3","20","South","HBI","General Trade","20%"
"3/11/2023","1","3","20","South","HBI","General Trade","20%"
"3/11/2023","1","3","5","South","HBI","General Trade","20%"
