Invoice Date,Invoice Quantity,Sales Zone,Sales Location,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m
2023-04-30,60,North,Gurgaon,21.817001,68.737495,15.816999,0.0,1007.1,981.37115,90.00001,9.19939,329.42084
2023-05-20,2,East,Durgapur,26.983,98.25101,26.682999,0.0,1004.7,994.35724,2.7,6.87779,186.00891
2023-05-20,2,East,Durgapur,26.983,98.25101,26.682999,0.0,1004.7,994.35724,2.7,6.87779,186.00891
2023-05-20,2,East,Durgapur,26.983,98.25101,26.682999,0.0,1004.7,994.35724,2.7,6.87779,186.00891
2023-05-20,25,East,Durgapur,26.983,98.25101,26.682999,0.0,1004.7,994.35724,2.7,6.87779,186.00891
2023-05-23,6,East,Durgapur,27.932999,91.84702,26.483,0.0,1005.8,995.4784,37.2,6.8399997,90.0
2023-05-25,10,East,Durgapur,25.633,95.92077,24.932999,0.0,1005.4,995.00354,90.0,8.350138,97.43131
2023-05-25,25,East,Durgapur,25.633,95.92077,24.932999,0.0,1005.4,995.00354,90.0,8.350138,97.43131
2023-05-25,25,East,Durgapur,25.633,95.92077,24.932999,0.0,1005.4,995.00354,90.0,8.350138,97.43131
2023-05-25,5,East,Durgapur,25.633,95.92077,24.932999,0.0,1005.4,995.00354,90.0,8.350138,97.43131
2023-05-25,25,East,Durgapur,25.633,95.92077,24.932999,0.0,1005.4,995.00354,90.0,8.350138,97.43131
2023-05-25,25,East,Durgapur,25.633,95.92077,24.932999,0.0,1005.4,995.00354,90.0,8.350138,97.43131
2023-05-26,5,East,Durgapur,23.983,94.14791,22.983,0.0,1006.3,995.8366,1.2,4.6938252,175.60138
2023-05-26,6,East,Durgapur,23.983,94.14791,22.983,0.0,1006.3,995.8366,1.2,4.6938252,175.60138
2023-05-26,4,East,Durgapur,23.983,94.14791,22.983,0.0,1006.3,995.8366,1.2,4.6938252,175.60138
2023-05-26,4,East,Durgapur,23.983,94.14791,22.983,0.0,1006.3,995.8366,1.2,4.6938252,175.60138
2023-05-26,10,East,Durgapur,23.983,94.14791,22.983,0.0,1006.3,995.8366,1.2,4.6938252,175.60138
2023-05-27,1,East,Durgapur,24.432999,97.3372,23.983,0.0,1005.4,994.9616,0.0,2.2768397,341.56494
2023-05-29,10,East,Durgapur,26.133,87.7096,23.932999,0.0,1008.1,997.69275,0.0,3.8939953,33.6901
2023-05-25,6,East,Durgapur,25.633,95.92077,24.932999,0.0,1005.4,995.00354,90.0,8.350138,97.43131
2023-05-26,1,East,Patna,25.3915,85.032074,22.6915,0.0,1005.7,998.1385,0.0,4.5536795,18.435053
2023-05-16,5,West,Pune,22.364,98.19015,22.064001,0.0,1011.6,948.4524,33.3,11.726277,252.1212
2023-05-18,5,West,Pune,23.064001,93.251625,21.914,0.0,1013.1,950.00256,22.5,8.473393,257.73523
2023-05-18,10,West,Pune,23.064001,93.251625,21.914,0.0,1013.1,950.00256,22.5,8.473393,257.73523
2023-05-20,5,West,Pune,23.014,84.261444,20.214,0.0,1010.3,947.3667,3.6,10.137692,253.49556
2023-05-30,5,West,Pune,23.764,88.5803,21.764,0.0,1010.5,947.7072,3.0,5.1165614,230.71062
2023-05-30,5,West,Pune,23.764,88.5803,21.764,0.0,1010.5,947.7072,3.0,5.1165614,230.71062
2023-05-30,5,West,Pune,23.764,88.5803,21.764,0.0,1010.5,947.7072,3.0,5.1165614,230.71062
2023-05-30,4,West,Pune,23.764,88.5803,21.764,0.0,1010.5,947.7072,3.0,5.1165614,230.71062
2023-05-30,15,West,Pune,23.764,88.5803,21.764,0.0,1010.5,947.7072,3.0,5.1165614,230.71062
2023-05-30,10,West,Pune,23.764,88.5803,21.764,0.0,1010.5,947.7072,3.0,5.1165614,230.71062
2023-05-30,5,West,Pune,23.764,88.5803,21.764,0.0,1010.5,947.7072,3.0,5.1165614,230.71062
2023-05-30,4,West,Pune,23.764,88.5803,21.764,0.0,1010.5,947.7072,3.0,5.1165614,230.71062
2023-05-19,10,West,Pune,23.114,85.31897,20.514,0.0,1011.2,948.2311,1.8000001,6.6087217,240.64233
