Invoice Date,Invoice Quantity,Sales Zone,Sales Location
5/13/2024,150,North,DLI
5/14/2024,170,North,DLI
5/14/2024,150,East,DGP
5/14/2024,75,South,KCI
5/14/2024,1,North,LKW
5/15/2024,25,South,KCI
5/15/2024,90,South,HBI
5/15/2024,120,North,JMU
5/15/2024,80,North,JMU
5/15/2024,120,East,DGP
5/15/2024,30,East,DGP
5/15/2024,120,North,JMU
5/15/2024,30,North,JMU
5/15/2024,120,North,GRN
5/15/2024,80,North,GRN
5/15/2024,200,North,GRN
5/15/2024,120,North,JMU
5/15/2024,150,East,DGP
5/15/2024,120,North,GRN
5/15/2024,30,North,GRN
5/15/2024,150,North,GRN
5/15/2024,50,North,GZB
5/15/2024,120,South,KCI
5/16/2024,200,North,JPR
5/16/2024,80,North,JMU
5/16/2024,120,North,JMU
5/16/2024,200,North,GZB
5/16/2024,120,North,JMU
5/16/2024,40,North,JMU
5/16/2024,100,South,MDI
5/16/2024,120,North,JMU
5/16/2024,80,North,JMU
5/16/2024,150,North,JPR
5/17/2024,120,North,GRN
5/17/2024,30,North,GRN
5/17/2024,100,North,GRN
5/17/2024,200,North,DLI
5/17/2024,150,North,JPR
5/17/2024,1,East,DGP
5/17/2024,5,East,DGP
5/17/2024,65,West,BHP
5/18/2024,200,South,HBI
5/18/2024,110,West,BHP
5/18/2024,70,South,HBI
5/18/2024,84,South,HBI
5/18/2024,80,North,GRN
5/19/2024,120,North,JMU
5/19/2024,80,North,JMU
5/19/2024,120,North,GRN
5/19/2024,30,North,GRN
5/19/2024,120,North,JMU
5/19/2024,80,North,JMU
5/19/2024,150,North,JPR
5/19/2024,150,North,GZB
5/20/2024,120,North,GRN
5/20/2024,30,North,GRN
5/20/2024,120,North,JMU
5/20/2024,30,North,JMU
5/20/2024,120,North,JMU
5/20/2024,40,North,JMU
5/20/2024,120,North,GRN
5/20/2024,80,North,GRN
5/20/2024,150,North,JPR
5/21/2024,150,North,DLI
5/21/2024,200,North,GRN
5/21/2024,150,North,DLI
5/21/2024,40,North,JMU
5/21/2024,120,North,JMU
5/21/2024,40,North,JMU
5/21/2024,100,North,JMU
5/21/2024,100,North,JMU
5/21/2024,10,East,DGP
5/21/2024,150,North,GZB
5/21/2024,100,North,GZB
5/21/2024,100,North,GZB
5/21/2024,200,East,DGP
5/21/2024,120,North,JMU
5/21/2024,40,North,JMU
5/22/2024,200,North,JPR
5/22/2024,200,North,DLI
5/22/2024,150,North,JPR
5/22/2024,30,West,BHP
5/23/2024,10,East,DGP
5/23/2024,10,East,DGP
5/23/2024,10,East,DGP
5/23/2024,10,East,DGP
5/23/2024,5,East,DGP
5/23/2024,200,East,DGP
5/23/2024,200,East,DGP
5/23/2024,170,West,BHP
5/24/2024,8,North,LKW
5/24/2024,20,East,DGP
5/24/2024,20,East,DGP
5/24/2024,10,East,DGP
5/24/2024,10,East,DGP
5/24/2024,10,East,DGP
5/24/2024,20,East,DGP
5/24/2024,20,East,DGP
5/24/2024,10,East,DGP
5/25/2024,150,North,DLI
5/25/2024,4,North,LKW
5/25/2024,200,East,DGP
5/25/2024,150,East,DGP
5/25/2024,100,North,JPR
5/25/2024,75,North,JPR
5/25/2024,7,North,LKW
5/26/2024,90,North,JMU
5/26/2024,80,North,JMU
5/26/2024,200,North,GRN
5/26/2024,200,North,GRN
5/26/2024,200,North,DLI
5/26/2024,200,East,DGP
5/26/2024,200,East,DGP
5/26/2024,8,North,LKW
5/26/2024,200,North,DLI
5/26/2024,150,North,DLI
5/27/2024,120,North,GRN
5/27/2024,80,North,GRN
5/27/2024,150,West,PNE
5/28/2024,200,East,DGP
5/28/2024,150,North,GRN
5/28/2024,100,North,JMU
5/28/2024,200,North,DLI
5/29/2024,10,East,DGP
5/29/2024,10,East,DGP
5/29/2024,20,West,PNE
5/29/2024,20,West,PNE
5/29/2024,10,West,PNE
5/29/2024,20,West,PNE
5/29/2024,20,West,PNE
